0      -14.72      0.00   9990.88   * 1 *      1 *
0  2017-07-24 12:45:00        5.28      0.00   9125.12       0      1 *
0  2017-07-24 12:50:00        0.00      5.28   9130.40      -1        0
0  2017-07-24 12:55:00        0.00      0.00   9130.40       0        0
0  2017-07-24 13:00:00      -24.72      0.00   9130.40   * 1 *      1 *
0  2017-07-24 13:05:00      -24.72      0.00   9130.40       0      1 *
0  2017-07-24 13:10:00        0.00    -24.72   9105.68      -1        0
0  2017-07-24 13:15:00        0.00      0.00   9105.68       0        0
0  2017-07-24 13:20:00        0.00      0.00   9105.68       0        0
0  2017-07-24 13:25:00      -14.72      0.00   9105.68   * 1 *      1 *
0  2017-07-24 13:30:00      -14.72      0.00   9105.68       0      1 *
0  2017-07-24 13:35:00       -4.72      0.00   9105.68       0      1 *
0  2017-07-24 13:40:00        0.00      5.28   9110.96      -1        0
0  2017-07-24 13:45:00      -14.72      0.00   9110.96  * -1 *     * -1
0  2017-07-24 13:50:00        0.00    -24.72   9086.24       1        0
0  2017-07-24 13:55:00        0.00      0.00   9086.24       0        0
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
NUM_SELL-AC: 75
NUM_NOOP-AC: 120
NUM_BUYY-AC: 81

STEPS: 276 	TOTAL_SCORE:  81.00
FUN_MAX: 10135.28
FUN_MIN: 9086.24
FUN_MEA: 9669.05
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
gameover!, meet maximumDrawdown!! 1
win: 5 25.28
loss: 20 65.22
                  Time  unrealized  Realized     funds  action position
0  2017-05-31 15:00:00     -104.72      0.00  10000.00  * -1 *     * -1
0  2017-05-31 15:05:00     -154.72      0.00  10000.00       0     * -1
0  2017-05-31 15:10:00     -174.72      0.00  10000.00       0     * -1
0  2017-05-31 15:15:00     -174.72      0.00  10000.00  * -1 *     * -1
0  2017-05-31 15:20:00     -214.72      0.00  10000.00       0     * -1
0  2017-05-31 15:25:00     -204.72      0.00  10000.00       0     * -1
0  2017-05-31 15:30:00        0.00   -214.72   9785.28       1        0
0  2017-05-31 15:35:00      -14.72      0.00   9785.28   * 1 *      1 *
0  2017-05-31 15:40:00      -14.72      0.00   9785.28   * 1 *      1 *
0  2017-05-31 15:45:00       55.28      0.00   9785.28       0      1 *
0  2017-05-31 15:50:00       45.28      0.00   9785.28       0      1 *
0  2017-05-31 15:55:00       45.28      0.00   9785.28       0      1 *
0  2017-05-31 16:00:00       45.28      0.00   9785.28       0      1 *
0  2017-05-31 16:05:00     -124.72      0.00   9785.28       0      1 *
0  2017-05-31 16:10:00        0.00   -124.72   9660.56      -1        0
0  2017-05-31 16:15:00      -14.72      0.00   9660.56  * -1 *     * -1
0  2017-05-31 16:20:00        0.00     15.28   9675.84       1        0
0  2017-05-31 16:25:00      -14.72      0.00   9675.84  * -1 *     * -1
0  2017-05-31 16:30:00        0.00    -94.72   9581.12       1        0
0  2017-05-31 16:35:00        0.00      0.00   9581.12       0        0
0  2017-05-31 16:40:00      -54.72      0.00   9581.12  * -1 *     * -1
0  2017-05-31 16:45:00      -74.72      0.00   9581.12  * -1 *     * -1
0  2017-05-31 16:50:00        0.00    -54.72   9526.40       1        0
0  2017-05-31 16:55:00      -14.72      0.00   9526.40  * -1 *     * -1
0  2017-05-31 17:00:00        0.00    -54.72   9471.68       1        0
0  2017-05-31 17:05:00        0.00      0.00   9471.68       0        0
0  2017-05-31 17:10:00      -14.72      0.00   9471.68   * 1 *      1 *
0  2017-05-31 17:15:00       35.28      0.00   9471.68       0      1 *
0  2017-05-31 17:20:00       35.28      0.00   9471.68       0      1 *
0  2017-05-31 17:25:00       35.28      0.00   9471.68   * 1 *      1 *
0  2017-05-31 17:30:00       35.28      0.00   9471.68       0      1 *
0  2017-05-31 17:35:00        0.00      5.28   9476.96      -1        0
0  2017-05-31 17:40:00        0.00      0.00   9476.96       0        0
0  2017-05-31 17:45:00        0.00      0.00   9476.96       0        0
0  2017-05-31 17:50:00      -14.72      0.00   9476.96   * 1 *      1 *
0  2017-05-31 17:55:00        0.00    -14.72   9462.24      -1        0
0  2017-05-31 18:00:00      -14.72      0.00   9462.24  * -1 *     * -1
0  2017-05-31 18:05:00        0.00    -44.72   9417.52       1        0
0  2017-05-31 18:10:00       -4.72      0.00   9417.52   * 1 *      1 *
0  2017-05-31 18:15:00        0.00    -24.72   9392.80      -1        0
0  2017-05-31 18:20:00      -14.72      0.00   9392.80  * -1 *     * -1
0  2017-05-31 18:25:00      -74.72      0.00   9392.80       0     * -1
0  2017-05-31 18:30:00      -34.72      0.00   9392.80  * -1 *     * -1
0  2017-05-31 18:35:00        0.00    -54.72   9338.08       1        0
0  2017-05-31 18:40:00        0.00      0.00   9338.08       0        0
0  2017-05-31 18:45:00        0.00      0.00   9338.08       0        0
0  2017-05-31 18:50:00        0.00      0.00   9338.08       0        0
0  2017-05-31 18:55:00        0.00      0.00   9338.08       0        0
0  2017-05-31 19:00:00        0.00      0.00   9338.08       0        0
0  2017-05-31 19:05:00        0.00      0.00   9338.08       0        0
0  2017-05-31 19:10:00        0.00      0.00   9338.08       0        0
0  2017-05-31 19:15:00      -64.72      0.00   9338.08   * 1 *      1 *
0  2017-05-31 19:20:00      -14.72      0.00   9338.08       0      1 *
0  2017-05-31 19:25:00      -14.72      0.00   9338.08   * 1 *      1 *
0  2017-05-31 19:30:00        0.00    -14.72   9323.36      -1        0
0  2017-05-31 19:35:00      -14.72      0.00   9323.36  * -1 *     * -1
0  2017-05-31 19:40:00        5.28      0.00   9323.36  * -1 *     * -1
